Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Australia,AUS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,83.9,84,84.2,84.3,84.3,84.4,84.5,84.6,84.6,84.9,85,85.3,85.4,85.3,..
Australia,AUS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,79.3,79.5,79.7,79.9,80.1,80.3,80.4,80.4,80.5,80.7,80.9,81.2,81.3,81.2,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.5439024390244,81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,..
Australia,AUS,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.0112244003854414,0.0113747348269522,0.012386187982092,0.0122260456346902,0.0125087288152162,0.00937390367671867,0.00912063164720422,0.0090015082330268,0.0083008683074658,0.0076987200388362,0.00884236581611864,0.00513229585494024,..,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,928762122698.05,1148890200292.42,1398701323029.63,1547649835732.89,1577301840200.01,1468597690006.22,1351768945139.11,1207580901578.72,1326882104817,1429733668185.91,1394671325960.57,1330381544909.3,1559033756285.13,1692956646855.7,1723827215334.71
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.89257360858259,2.22653807797504,2.40897178005686,3.91840962538336,2.60619844706027,2.60740103188527,2.20181015336807,2.77914262537222,2.31870938698817,2.90636311509867,2.1811091061096,-0.33468635945016,2.11183088925151,4.26894639349867,3.01698810357014
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,42816.5674002829,52147.0241942843,62609.6607161044,68078.0442283168,68198.4193446869,62558.2438786332,56758.8692027821,49918.7939327254,53954.553494614,57273.5204750079,55049.571919719,51868.2475567823,60697.2454358579,65077.676668821,64711.7656030565
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.185773152884209,0.648500068252503,0.995812001601593,2.11992606815087,0.85530140286312,1.08830078150544,0.741438843604087,1.18626585064179,0.647495218504773,1.37834535331957,0.682490945150491,-1.55643630102695,1.96806164574946,2.95032558403243,0.603284935712949
Australia,AUS,Population growth (annual %),SP.POP.GROW,2.06083316277243,1.55570626204128,1.38952731561803,1.74582000067359,1.721151439989,1.49156648912847,1.43921665259925,1.56194049810399,1.64682779735017,1.49599671041328,1.47749071058438,1.23342825131378,0.14089508329287,1.27269881377618,2.37089971050094
Australia,AUS,"Population, total",SP.POP.TOTL,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26638544
Austria,AUT,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,83.2,83.5,83.8,83.6,83.8,84,83.7,84.1,84,84.1,84.2,83.6,83.7,83.5,..
Austria,AUT,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,77.6,77.8,78.3,78.4,78.6,79.1,78.8,79.3,79.4,79.4,79.7,78.9,78.8,78.8,..
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.3317073170732,80.5804878048781,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,81.190243902439,81.0926829268293,..
Austria,AUT,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.0083224169172367,0.00828715417870662,0.00840837885005099,0.00799682385984611,0.00799311952052623,0.00823524881647887,0.00789897335853942,0.0074322651325721,0.00716798110521798,0.00811393293691507,0.00765602935181696,0.00728428604783594,..,..,..
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,401758735822.211,392275107258.667,431685217367.511,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,454991174096.102,444596155845.254,435049316955.737,479295362747.047,470941926750.741,516034144115.95
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.76457817791677,1.83709367680054,2.92279728368581,0.680445576816723,0.0255047121972183,0.661272848852605,1.01450158590511,1.98943716230463,2.25857243250671,2.42538536088061,1.45052918393192,-6.63299143662553,4.23786673253257,4.80643020178459,-0.828815088963225
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,48153.3240199631,46903.7615854343,51442.2762464407,48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51466.5565633634,50067.5857265892,48789.4978498872,53517.8904509612,52084.6811953372,56505.9682796867
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.01634004211772,1.59257712849987,2.57644831811446,0.222450576943075,-0.562298942527448,-0.122370667337563,-0.111540189504495,0.892469139632297,1.55072408627153,1.92771305987296,1.00040695317784,-7.01982595202976,3.78471969654039,3.80895606240934,-1.81192822738132
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.261953189906348,0.240394299500766,0.337080841831645,0.45593747231891,0.589387254692989,0.781541632525841,1.12099250236958,1.08139629872802,0.694621103604983,0.487071924768999,0.444673639004876,0.415176731565556,0.435671684056384,0.956287797076634,0.996275813585943
